ORDERNUMBER,QUANTITYORDERED,PRICEEACH,CALCULATED_PRICE,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH,YEAR,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,CITY,STATE,POSTALCODE,COUNTRY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE
10276,21,70.78,1486.38,11,1716.7689000000003,2004-08-02,Shipped,3,8,2004,Motorcycles,81,S50_4713,ONLINE MINI COLLECTABLES,6175557555,7635 Spinnaker Dr.,Brickhaven,MA,58339,USA,Barajas,Miguel,Small
10197,23,64.67,1487.41,9,1717.9585500000003,2003-11-26,Shipped,4,11,2003,Ships,66,S700_1138,ENACO DISTRIBUTORS,(93) 203 4555,"Rambla de Catalu¤a, 23",Barcelona,,8022,Spain,Saavedra,Eduardo,Small
10127,39,38.19,1489.4099999999999,12,1720.2685500000005,2003-06-03,Shipped,2,6,2003,Classic Cars,35,S24_2840,MUSCLE MACHINE INC,2125557413,4092 Furth Circle,NYC,NY,10022,USA,Young,Jeff,Small
10145,30,49.67,1490.1000000000001,10,1721.0655000000002,2003-08-25,Shipped,3,8,2003,Motorcycles,60,S18_2625,TOYS4GROWNUPS.COM,6265557265,78934 Hillside Dr.,Pasadena,CA,90003,USA,Young,Julie,Small
10168,21,70.96,1490.1599999999999,9,1721.1348000000003,2003-10-28,Shipped,4,10,2003,Planes,84,S18_2581,TECHNICS STORES INC.,6505556809,9408 Furth Circle,Burlingame,CA,94217,USA,Hirano,Juri,Small
10284,21,71.0,1491.0,2,1722.105,2004-08-21,Shipped,3,8,2004,Planes,72,S24_4278,"NORWAY GIFTS BY MAIL, CO.",+47 2212 1555,"Drammensveien 126 A, PB 744 Sentrum",Oslo,,N 0106,Norway,Klaeboe,Jan,Small
10173,26,57.51,1495.26,12,1727.0253000000002,2003-11-05,Shipped,4,11,2003,Vintage Cars,60,S18_2248,ROVELLI GIFTS,035-640555,Via Ludovico il Moro 22,Bergamo,,24100,Italy,Rovelli,Giovanni,Small
10296,21,71.25,1496.25,8,1728.16875,2004-09-15,Shipped,3,9,2004,Planes,68,S24_2841,"BAVARIAN COLLECTABLES IMPORTS, CO.",+49 89 61 08 9555,Hansastr. 15,Munich,,80686,Germany,Donnermeyer,Michael,Small
10149,24,62.36,1496.6399999999999,10,1728.6192000000003,2003-09-12,Shipped,3,9,2003,Vintage Cars,60,S18_2248,SIGNAL COLLECTIBLES LTD.,4155554312,2793 Furth Circle,Brisbane,CA,94217,USA,Taylor,Sue,Small
10150,30,49.97,1499.1,11,1731.4605000000001,2003-09-19,Shipped,3,9,2003,Vintage Cars,62,S18_2957,"DRAGON SOUVENIERS, LTD.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,,79903,Singapore,Natividad,Eric,Small
10256,29,51.75,1500.75,1,1733.3662500000003,2004-06-08,Shipped,2,6,2004,Vintage Cars,53,S18_1367,DANISH WHOLESALE IMPORTS,31 12 3555,Vinb'ltet 34,Kobenhavn,,1734,Denmark,Petersen,Jytte,Small
10291,26,57.73,1500.98,2,1733.6319,2004-09-08,Shipped,3,9,2004,Trucks and Buses,60,S18_2432,SCANDINAVIAN GIFT IDEAS,0695-34 6555,?kergatan 24,Boras,,S-844 67,Sweden,Larsson,Maria,Small
10291,29,51.82,1502.78,9,1735.7109000000003,2004-09-08,Shipped,3,9,2004,Vintage Cars,50,S18_4668,SCANDINAVIAN GIFT IDEAS,0695-34 6555,?kergatan 24,Boras,,S-844 67,Sweden,Larsson,Maria,Small
10227,31,48.52,1504.1200000000001,2,1737.2586000000001,2004-03-02,Shipped,1,3,2004,Vintage Cars,53,S18_1367,"SAVELEY & HENRIOT, CO.",78.32.5555,"2, rue du Commerce",Lyon,,69004,France,Saveley,Mary,Small
10173,28,53.72,1504.1599999999999,2,1737.3048000000003,2003-11-05,Shipped,4,11,2003,Vintage Cars,62,S18_2957,ROVELLI GIFTS,035-640555,Via Ludovico il Moro 22,Bergamo,,24100,Italy,Rovelli,Giovanni,Small
10148,25,60.26,1506.5,6,1740.0075000000002,2003-09-11,Shipped,3,9,2003,Classic Cars,73,S24_1046,"ANNA'S DECORATIONS, LTD",02 9936 8555,201 Miller Street,North Sydney,NSW,2060,Australia,O'Hara,Anna,Small
10248,23,65.52,1506.9599999999998,9,1740.5388,2004-05-07,Cancelled,2,5,2004,Ships,54,S72_3212,LAND OF TOYS INC.,2125557818,897 Long Airport Avenue,NYC,NY,10022,USA,Yu,Kwai,Small
10181,23,65.52,1506.9599999999998,13,1740.5388,2003-11-12,Shipped,4,11,2003,Classic Cars,61,S24_3371,HERKKU GIFTS,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Bergen,,N 5804,Norway,Oeztan,Veysel,Small
10350,25,60.34,1508.5,10,1742.3175,2004-12-02,Shipped,4,12,2004,Vintage Cars,83,S24_3816,EURO SHOPPING CHANNEL,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,,28034,Spain,Freyre,Diego,Small
10305,48,31.47,1510.56,6,1744.6968000000002,2004-10-13,Shipped,4,10,2004,Classic Cars,35,S24_2840,MARTA'S REPLICAS CO.,6175558555,39323 Spinnaker Dr.,Cambridge,MA,51247,USA,Hernandez,Marta,Small
10355,38,39.83,1513.54,10,1748.1387000000002,2004-12-07,Shipped,4,12,2004,Motorcycles,40,S32_2206,EURO SHOPPING CHANNEL,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,,28034,Spain,Freyre,Diego,Small
10178,21,72.12,1514.52,11,1749.2706000000003,2003-11-08,Shipped,4,11,2003,Vintage Cars,83,S24_3816,ALPHA COGNAC,61.77.6555,1 rue Alsace-Lorraine,Toulouse,,31000,France,Roulet,Annette,Small
10346,42,36.11,1516.62,3,1751.6961000000001,2004-11-29,Shipped,4,11,2004,Vintage Cars,102,S18_1342,SIGNAL GIFT STORES,7025551838,8489 Strong St.,Las Vegas,NV,83030,USA,King,Sue,Small
10190,46,32.99,1517.5400000000002,1,1752.7587,2003-11-19,Shipped,4,11,2003,Motorcycles,40,S32_2206,EURO SHOPPING CHANNEL,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,,28034,Spain,Freyre,Diego,Small
10324,26,58.38,1517.88,7,1753.1514000000002,2004-11-05,Shipped,4,11,2004,Trucks and Buses,118,S12_4473,VITACHROME INC.,2125551500,2678 Kingston Rd.,NYC,NY,10022,USA,Frick,Michael,Small
10285,37,41.03,1518.1100000000001,1,1753.41705,2004-08-27,Shipped,3,8,2004,Motorcycles,40,S32_2206,MARTA'S REPLICAS CO.,6175558555,39323 Spinnaker Dr.,Cambridge,MA,51247,USA,Hernandez,Marta,Small
10186,22,69.2,1522.4,2,1758.3720000000003,2003-11-14,Shipped,4,11,2003,Planes,68,S24_2841,"DOUBLE DECKER GIFT STORES, LTD",(171) 555-7555,120 Hanover Sq.,London,,WA1 1DP,UK,Hardy,Thomas,Small
10252,20,76.39,1527.8,2,1764.6090000000002,2004-05-26,Shipped,2,5,2004,Classic Cars,80,S18_3278,AUTO CANAL PETIT,(1) 47.55.6555,"25, rue Lauriston",Paris,,75016,France,Perrier,Dominique,Small
10124,46,33.23,1528.58,4,1765.5099000000002,2003-05-21,Shipped,2,5,2003,Vintage Cars,41,S24_3969,SIGNAL GIFT STORES,7025551838,8489 Strong St.,Las Vegas,NV,83030,USA,King,Sue,Small
10214,44,34.88,1534.72,5,1772.6016000000002,2004-01-26,Shipped,1,1,2004,Vintage Cars,41,S24_3969,"CORRIDA AUTO REPLICAS, LTD",(91) 555 22 82,"C/ Araquil, 67",Madrid,,28023,Spain,Sommer,Mart¡n,Small
10370,27,56.85,1534.95,9,1772.8672500000005,2005-01-20,Shipped,1,1,2005,Classic Cars,169,S18_3232,"ANNA'S DECORATIONS, LTD",02 9936 8555,201 Miller Street,North Sydney,NSW,2060,Australia,O'Hara,Anna,Small
10349,33,46.53,1535.49,1,1773.49095,2004-12-01,Shipped,4,12,2004,Trucks and Buses,54,S32_2509,MUSCLE MACHINE INC,2125557413,4092 Furth Circle,NYC,NY,10022,USA,Young,Jeff,Small
10122,21,73.17,1536.57,13,1774.73835,2003-05-08,Shipped,2,5,2003,Classic Cars,80,S18_3278,MARSEILLE MINI AUTOS,91.24.4555,"12, rue des Bouchers",Marseille,,13008,France,Lebihan,Laurence,Small
10225,42,36.63,1538.46,3,1776.9213000000002,2004-02-22,Shipped,1,2,2004,Classic Cars,37,S24_2972,"VIDA SPORT, LTD",0897-034555,Grenzacherweg 237,Gensve,,1203,Switzerland,Holz,Michael,Small
10332,45,34.19,1538.55,12,1777.0252500000001,2004-11-17,Shipped,4,11,2004,Classic Cars,85,S24_3191,"AV STORES, CO.",(171) 555-1555,Fauntleroy Circus,Manchester,,EC2 5NT,UK,Ashworth,Victoria,Small
10119,26,59.22,1539.72,1,1778.3766000000003,2003-04-28,Shipped,2,4,2003,Planes,74,S700_4002,SALZBURG COLLECTABLES,6562-9555,Geislweg 14,Salzburg,,5020,Austria,Pipps,Georg,Small
10161,20,77.05,1541.0,4,1779.8550000000002,2003-10-17,Shipped,4,10,2003,Classic Cars,85,S24_3191,HEINTZE COLLECTABLES,86 21 3555,Smagsloget 45,Aaarhus,,8200,Denmark,Ibsen,Palle,Small
10159,23,67.1,1543.3,6,1782.5115,2003-10-10,Shipped,4,10,2003,Classic Cars,80,S24_4620,CORPORATE GIFT IDEAS CO.,6505551386,7734 Strong St.,San Francisco,CA,,USA,Brown,Julie,Small
10148,21,73.6,1545.6,4,1785.1680000000001,2003-09-11,Shipped,3,9,2003,Classic Cars,90,S24_2766,"ANNA'S DECORATIONS, LTD",02 9936 8555,201 Miller Street,North Sydney,NSW,2060,Australia,O'Hara,Anna,Small
10180,34,45.46,1545.64,4,1785.2142000000003,2003-11-11,Shipped,4,11,2003,Motorcycles,40,S32_2206,DAEDALUS DESIGNS IMPORTS,20.16.1555,"184, chausse de Tournai",Lille,,59000,France,Rance,Martine,Small
10310,36,43.05,1549.8,17,1790.019,2004-10-16,Shipped,4,10,2004,Motorcycles,40,S32_2206,"TOMS SPEZIALITTEN, LTD",0221-5554327,Mehrheimerstr. 369,Koln,,50739,Germany,Pfalzheim,Henriette,Small
10298,32,48.46,1550.72,2,1791.0816000000002,2004-09-27,Shipped,3,9,2004,Motorcycles,60,S18_2625,ATELIER GRAPHIQUE,40.32.2555,"54, rue Royale",Nantes,,44000,France,Schmitt,Carine,Small
10248,21,73.98,1553.5800000000002,1,1794.3849000000002,2004-05-07,Cancelled,2,5,2004,Ships,86,S18_3029,LAND OF TOYS INC.,2125557818,897 Long Airport Avenue,NYC,NY,10022,USA,Yu,Kwai,Small
10160,42,37.0,1554.0,2,1794.8700000000001,2003-10-11,Shipped,4,10,2003,Classic Cars,37,S24_2972,"MEN 'R' US RETAILERS, LTD.",2155554369,6047 Douglas Av.,Los Angeles,CA,,USA,Chandler,Michael,Small
10424,26,59.87,1556.62,4,1797.8961000000002,2005-05-31,In Process,2,5,2005,Vintage Cars,50,S18_4668,EURO SHOPPING CHANNEL,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,,28034,Spain,Freyre,Diego,Small
10280,27,57.68,1557.36,8,1798.7508000000003,2004-08-17,Shipped,3,8,2004,Vintage Cars,53,S18_1367,AMICA MODELS & CO.,011-4988555,Via Monte Bianco 34,Torino,,10100,Italy,Accorti,Paolo,Small
10226,36,43.27,1557.72,3,1799.1666000000002,2004-02-26,Shipped,1,2,2004,Classic Cars,50,S24_1628,COLLECTABLE MINI DESIGNS CO.,7605558146,361 Furth Circle,San Diego,CA,91217,USA,Thompson,Valarie,Small
10394,31,50.29,1558.99,2,1800.6334500000003,2005-03-15,Shipped,1,3,2005,Classic Cars,57,S24_1444,EURO SHOPPING CHANNEL,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,,28034,Spain,Freyre,Diego,Small
10304,24,64.96,1559.04,9,1800.6912000000002,2004-10-11,Shipped,4,10,2004,Vintage Cars,62,S18_2957,AUTO ASSOC. & CIE.,30.59.8555,"67, avenue de l'Europe",Versailles,,78000,France,Tonini,Daniel,Small
10114,28,55.73,1560.4399999999998,2,1802.3082000000004,2003-04-01,Shipped,2,4,2003,Trucks and Buses,54,S32_2509,"LA CORNE D'ABONDANCE, CO.",(1) 42.34.2555,"265, boulevard Charonne",Paris,,75012,France,Bertrand,Marie,Small
10162,43,36.29,1560.47,4,1802.3428500000002,2003-10-18,Shipped,4,10,2003,Vintage Cars,44,S24_2022,CORPORATE GIFT IDEAS CO.,6505551386,7734 Strong St.,San Francisco,CA,,USA,Brown,Julie,Small
10361,25,62.46,1561.5,1,1803.5325000000003,2004-12-17,Shipped,4,12,2004,Planes,72,S24_4278,SOUVENIERS AND THINGS CO.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,NSW,2067,Australia,Huxley,Adrian,Small
10106,39,40.15,1565.85,6,1808.55675,2003-02-17,Shipped,1,2,2003,Vintage Cars,43,S50_1341,ROVELLI GIFTS,035-640555,Via Ludovico il Moro 22,Bergamo,,24100,Italy,Rovelli,Giovanni,Small
10229,39,40.25,1569.75,14,1813.0612500000004,2004-03-11,Shipped,1,3,2004,Vintage Cars,50,S18_4668,MINI GIFTS DISTRIBUTORS LTD.,4155551450,5677 Strong St.,San Rafael,CA,97562,USA,Nelson,Valarie,Small
10386,21,74.77,1570.1699999999998,18,1813.5463500000003,2005-03-01,Resolved,1,3,2005,Planes,84,S18_2581,EURO SHOPPING CHANNEL,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,,28034,Spain,Freyre,Diego,Small
10280,25,62.96,1574.0,15,1817.9700000000003,2004-08-17,Shipped,3,8,2004,Vintage Cars,60,S18_2248,AMICA MODELS & CO.,011-4988555,Via Monte Bianco 34,Torino,,10100,Italy,Accorti,Paolo,Small
10279,26,60.58,1575.08,1,1819.2174000000002,2004-08-09,Shipped,3,8,2004,Classic Cars,71,S18_4933,EURO SHOPPING CHANNEL,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,,28034,Spain,Freyre,Diego,Small
10342,39,40.4,1575.6,9,1819.818,2004-11-24,Shipped,4,11,2004,Classic Cars,37,S24_2972,"AUSTRALIAN COLLECTORS, CO.",03 9520 4555,636 St Kilda Road,Melbourne,Victoria,3004,Australia,Ferguson,Peter,Small
10113,23,68.52,1575.9599999999998,1,1820.2338000000002,2003-03-26,Shipped,1,3,2003,Trucks and Buses,64,S32_3522,MINI GIFTS DISTRIBUTORS LTD.,4155551450,5677 Strong St.,San Rafael,CA,97562,USA,Nelson,Valarie,Small
10307,22,71.67,1576.74,3,1821.1347,2004-10-14,Shipped,4,10,2004,Vintage Cars,65,S24_3420,"CLASSIC GIFT IDEAS, INC",2155554695,782 First Street,Philadelphia,PA,71270,USA,Cervantes,Francisca,Small
10181,37,42.67,1578.79,8,1823.5024500000004,2003-11-12,Shipped,4,11,2003,Classic Cars,37,S24_2972,HERKKU GIFTS,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Bergen,,N 5804,Norway,Oeztan,Veysel,Small
10173,21,75.46,1584.6599999999999,14,1830.2823000000005,2003-11-05,Shipped,4,11,2003,Vintage Cars,92,S18_4409,ROVELLI GIFTS,035-640555,Via Ludovico il Moro 22,Bergamo,,24100,Italy,Rovelli,Giovanni,Small
10278,35,45.28,1584.8,1,1830.4440000000002,2004-08-06,Shipped,3,8,2004,Classic Cars,50,S24_1628,SIGNAL GIFT STORES,7025551838,8489 Strong St.,Las Vegas,NV,83030,USA,King,Sue,Small
10271,38,41.72,1585.36,6,1831.0908000000002,2004-07-20,Shipped,3,7,2004,Classic Cars,35,S24_2840,MINI GIFTS DISTRIBUTORS LTD.,4155551450,5677 Strong St.,San Rafael,CA,97562,USA,Nelson,Valarie,Small
10383,44,36.07,1587.08,8,1833.0774000000001,2005-02-22,Shipped,1,2,2005,Trains,62,S32_3207,EURO SHOPPING CHANNEL,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,,28034,Spain,Freyre,Diego,Small
10416,26,61.22,1591.72,7,1838.4366000000002,2005-05-10,Shipped,2,5,2005,Vintage Cars,68,S32_4289,L'ORDINE SOUVENIERS,0522-556555,Strada Provinciale 124,Reggio Emilia,,42100,Italy,Moroni,Maurizio,Small
10320,26,61.23,1591.98,2,1838.7369000000003,2004-11-03,Shipped,4,11,2004,Classic Cars,61,S24_3371,"VOLVO MODEL REPLICAS, CO",0921-12 3555,Berguvsvgen  8,Lule,,S-958 22,Sweden,Berglund,Christina,Small
10332,40,39.8,1592.0,18,1838.7600000000002,2004-11-17,Shipped,4,11,2004,Vintage Cars,104,S18_3136,"AV STORES, CO.",(171) 555-1555,Fauntleroy Circus,Manchester,,EC2 5NT,UK,Ashworth,Victoria,Small
10356,22,72.41,1593.02,6,1839.9381000000003,2004-12-09,Shipped,4,12,2004,Vintage Cars,53,S18_1367,LYON SOUVENIERS,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,,75508,France,Da Cunha,Daniel,Small
10167,20,79.66,1593.1999999999998,11,1840.1460000000002,2003-10-23,Cancelled,4,10,2003,Vintage Cars,88,S24_3151,SCANDINAVIAN GIFT IDEAS,0695-34 6555,?kergatan 24,Boras,,S-844 67,Sweden,Larsson,Maria,Small
10380,44,36.29,1596.76,7,1844.2578,2005-02-16,Shipped,1,2,2005,Classic Cars,117,S24_2887,EURO SHOPPING CHANNEL,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,,28034,Spain,Freyre,Diego,Small
10180,25,64.2,1605.0,13,1853.775,2003-11-11,Shipped,4,11,2003,Motorcycles,60,S18_2625,DAEDALUS DESIGNS IMPORTS,20.16.1555,"184, chausse de Tournai",Lille,,59000,France,Rance,Martine,Small
10110,32,50.25,1608.0,6,1857.2400000000002,2003-03-18,Shipped,1,3,2003,Vintage Cars,60,S18_2248,"AV STORES, CO.",(171) 555-1555,Fauntleroy Circus,Manchester,,EC2 5NT,UK,Ashworth,Victoria,Small
10262,24,67.14,1611.3600000000001,10,1861.1208,2004-06-24,Cancelled,2,6,2004,Planes,68,S24_2841,EURO SHOPPING CHANNEL,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,,28034,Spain,Freyre,Diego,Small
10398,28,57.55,1611.3999999999999,3,1861.1670000000004,2005-03-30,Shipped,1,3,2005,Planes,68,S24_2841,REIMS COLLECTABLES,26.47.1555,59 rue de l'Abbaye,Reims,,51100,France,Henriot,Paul,Small
10373,28,57.55,1611.3999999999999,4,1861.1670000000004,2005-01-31,Shipped,1,1,2005,Planes,157,S18_1662,"OULU TOY SUPPLIES, INC.",981-443655,Torikatu 38,Oulu,,90110,Finland,Koskitalo,Pirkko,Small
10316,34,47.57,1617.38,3,1868.0739000000003,2004-11-01,Shipped,4,11,2004,Vintage Cars,43,S50_1341,GIFTSBYMAIL.CO.UK,(198) 555-8888,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,UK,Bennett,Helen,Small
10207,27,60.06,1621.6200000000001,9,1872.9711000000002,2003-12-09,Shipped,4,12,2003,Trucks and Buses,54,S32_2509,DIECAST COLLECTABLES,6175552555,6251 Ingle Ln.,Boston,MA,51003,USA,Franco,Valarie,Small
10359,25,64.93,1623.2500000000002,4,1874.8537500000002,2004-12-15,Shipped,4,12,2004,Trains,58,S50_1514,REIMS COLLECTABLES,26.47.1555,59 rue de l'Abbaye,Reims,,51100,France,Henriot,Paul,Small
10373,25,64.97,1624.25,9,1876.0087500000002,2005-01-31,Shipped,1,1,2005,Planes,49,S72_1253,"OULU TOY SUPPLIES, INC.",981-443655,Torikatu 38,Oulu,,90110,Finland,Koskitalo,Pirkko,Small
10181,22,73.92,1626.24,10,1878.3072000000002,2003-11-12,Shipped,4,11,2003,Classic Cars,77,S18_1889,HERKKU GIFTS,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Bergen,,N 5804,Norway,Oeztan,Veysel,Small
10377,24,67.83,1627.92,5,1880.2476000000004,2005-02-09,Shipped,1,2,2005,Classic Cars,79,S12_3990,"TOYS OF FINLAND, CO.",90-224 8555,Keskuskatu 45,Helsinki,,21240,Finland,Karttunen,Matti,Small
10181,20,81.4,1628.0,15,1880.3400000000001,2003-11-12,Shipped,4,11,2003,Classic Cars,79,S12_3990,HERKKU GIFTS,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Bergen,,N 5804,Norway,Oeztan,Veysel,Small
10363,28,58.18,1629.04,13,1881.5412000000001,2005-01-06,Shipped,1,1,2005,Classic Cars,148,S18_4721,SUOMINEN SOUVENIERS,+358 9 8045 555,"Software Engineering Center, SEC Oy",Espoo,,FIN-02271,Finland,Suominen,Kalle,Small
10126,26,62.7,1630.2,7,1882.881,2003-05-28,Shipped,2,5,2003,Trucks and Buses,64,S32_3522,"CORRIDA AUTO REPLICAS, LTD",(91) 555 22 82,"C/ Araquil, 67",Madrid,,28023,Spain,Sommer,Mart¡n,Small
10106,31,52.6,1630.6000000000001,14,1883.343,2003-02-17,Shipped,1,2,2003,Vintage Cars,65,S24_3420,ROVELLI GIFTS,035-640555,Via Ludovico il Moro 22,Bergamo,,24100,Italy,Rovelli,Giovanni,Small
10152,25,65.31,1632.75,4,1885.8262500000003,2003-09-25,Shipped,3,9,2003,Classic Cars,57,S24_1444,"AUSTRALIAN GIFT NETWORK, CO",61-7-3844-6555,31 Duncan St. West End,South Brisbane,Queensland,4101,Australia,Calaghan,Tony,Small
10144,20,81.86,1637.2,1,1890.9660000000003,2003-08-13,Shipped,3,8,2003,Vintage Cars,68,S32_4289,ROYALE BELGE,(071) 23 67 2555,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgium,Cartrain,Pascale,Small
10252,31,52.84,1638.0400000000002,5,1891.9362,2004-05-26,Shipped,2,5,2004,Motorcycles,62,S18_3782,AUTO CANAL PETIT,(1) 47.55.6555,"25, rue Lauriston",Paris,,75016,France,Perrier,Dominique,Small
10172,22,74.51,1639.22,1,1893.2991000000002,2003-11-05,Shipped,4,11,2003,Classic Cars,90,S24_2766,GIFT DEPOT INC.,2035552570,25593 South Bay Ln.,Bridgewater,CT,97562,USA,King,Julie,Small
10383,28,58.58,1640.24,7,1894.4772000000003,2005-02-22,Shipped,1,2,2005,Vintage Cars,87,S18_4522,EURO SHOPPING CHANNEL,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,,28034,Spain,Freyre,Diego,Small
10204,23,71.44,1643.12,3,1897.8036000000002,2003-12-02,Shipped,4,12,2003,Vintage Cars,60,S18_2248,MUSCLE MACHINE INC,2125557413,4092 Furth Circle,NYC,NY,10022,USA,Young,Jeff,Small
10145,27,60.95,1645.65,3,1900.7257500000003,2003-08-25,Shipped,3,8,2003,Motorcycles,69,S24_2360,TOYS4GROWNUPS.COM,6265557265,78934 Hillside Dr.,Pasadena,CA,90003,USA,Young,Julie,Small
10143,27,60.97,1646.19,8,1901.3494500000004,2003-08-10,Shipped,3,8,2003,Planes,68,S24_2841,MINI CREATIONS LTD.,5085559555,4575 Hillside Dr.,New Bedford,MA,50553,USA,Tam,Wing C,Small
10344,26,63.43,1649.18,5,1904.8029000000004,2004-11-25,Shipped,4,11,2004,Classic Cars,71,S18_4933,MARSEILLE MINI AUTOS,91.24.4555,"12, rue des Bouchers",Marseille,,13008,France,Lebihan,Laurence,Small
10301,48,34.36,1649.28,10,1904.9184000000002,2003-10-05,Shipped,4,10,2003,Classic Cars,37,S24_2972,"NORWAY GIFTS BY MAIL, CO.",+47 2212 1555,"Drammensveien 126 A, PB 744 Sentrum",Oslo,,N 0106,Norway,Klaeboe,Jan,Small
10210,21,78.55,1649.55,12,1905.23025,2004-01-12,Shipped,1,1,2004,Planes,91,S700_1691,OSAKA SOUVENIERS CO.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,Osaka,530-0003,Japan,Kentary,Mory,Small
10110,48,34.47,1654.56,5,1911.0168,2003-03-18,Shipped,1,3,2003,Vintage Cars,41,S24_3969,"AV STORES, CO.",(171) 555-1555,Fauntleroy Circus,Manchester,,EC2 5NT,UK,Ashworth,Victoria,Small
10280,21,78.89,1656.69,6,1913.4769500000004,2004-08-17,Shipped,3,8,2004,Vintage Cars,97,S24_4258,AMICA MODELS & CO.,011-4988555,Via Monte Bianco 34,Torino,,10100,Italy,Accorti,Paolo,Small
10355,31,53.47,1657.57,1,1914.4933500000002,2004-12-07,Shipped,4,12,2004,Motorcycles,62,S18_3782,EURO SHOPPING CHANNEL,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,,28034,Spain,Freyre,Diego,Small
10106,26,63.76,1657.76,3,1914.7128000000002,2003-02-17,Shipped,1,2,2003,Planes,72,S24_4278,ROVELLI GIFTS,035-640555,Via Ludovico il Moro 22,Bergamo,,24100,Italy,Rovelli,Giovanni,Small
10325,24,69.12,1658.88,9,1916.0064000000004,2004-11-05,Shipped,4,11,2004,Vintage Cars,136,S18_3140,BAANE MINI IMPORTS,07-98 9555,Erling Skakkes gate 78,Stavern,,4110,Norway,Bergulfsen,Jonas,Small
10352,22,75.51,1661.22,1,1918.7091000000003,2004-12-03,Shipped,4,12,2004,Planes,74,S700_4002,AUTO-MOTO CLASSICS INC.,6175558428,16780 Pompton St.,Brickhaven,MA,58339,USA,Taylor,Leslie,Small
10276,33,50.36,1661.8799999999999,9,1919.4714000000004,2004-08-02,Shipped,3,8,2004,Motorcycles,62,S18_3782,ONLINE MINI COLLECTABLES,6175557555,7635 Spinnaker Dr.,Brickhaven,MA,58339,USA,Barajas,Miguel,Small
10423,31,53.72,1665.32,3,1923.4446000000003,2005-05-30,In Process,2,5,2005,Vintage Cars,62,S18_2957,PETIT AUTO,(02) 5554 67,Rue Joseph-Bens 532,Bruxelles,,B-1180,Belgium,Dewey,Catherine,Small
10297,23,72.45,1666.3500000000001,5,1924.63425,2004-09-16,Shipped,3,9,2004,Planes,72,S24_4278,"CLOVER COLLECTIONS, CO.",+353 1862 1555,25 Maiden Lane,Dublin,,2,Ireland,Cassidy,Dean,Small
10271,35,47.62,1666.6999999999998,7,1925.0385000000003,2004-07-20,Shipped,3,7,2004,Trucks and Buses,54,S32_2509,MINI GIFTS DISTRIBUTORS LTD.,4155551450,5677 Strong St.,San Rafael,CA,97562,USA,Nelson,Valarie,Small
10104,35,47.62,1666.6999999999998,11,1925.0385000000003,2003-01-31,Shipped,1,1,2003,Trucks and Buses,54,S32_2509,EURO SHOPPING CHANNEL,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,,28034,Spain,Freyre,Diego,Small
10229,28,59.55,1667.3999999999999,7,1925.8470000000004,2004-03-11,Shipped,1,3,2004,Trucks and Buses,60,S18_2432,MINI GIFTS DISTRIBUTORS LTD.,4155551450,5677 Strong St.,San Rafael,CA,97562,USA,Nelson,Valarie,Small
10375,25,66.73,1668.25,10,1926.8287500000004,2005-02-03,Shipped,1,2,2005,Planes,118,S700_2834,LA ROCHELLE GIFTS,40.67.8555,"67, rue des Cinquante Otages",Nantes,,44000,France,Labrune,Janine,Small
10370,29,57.53,1668.3700000000001,6,1926.9673500000001,2005-01-20,Shipped,1,1,2005,Trucks and Buses,121,S18_4600,"ANNA'S DECORATIONS, LTD",02 9936 8555,201 Miller Street,North Sydney,NSW,2060,Australia,O'Hara,Anna,Small
10167,40,41.71,1668.4,4,1927.0020000000004,2003-10-23,Cancelled,4,10,2003,Planes,49,S72_1253,SCANDINAVIAN GIFT IDEAS,0695-34 6555,?kergatan 24,Boras,,S-844 67,Sweden,Larsson,Maria,Small
